Feature ID	Taxon	Confidence
0fdb364ddca36274dcb06bd2db264cb8	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium	0.99990383
192252a3fe0421c4a84f75080487264a	Unassigned	0.84374934
841863368a81149e3b96407fd1e47b92	Unassigned	0.953003509
5942c8378c15adad2a587898553091d6	Unassigned	0.925923099
683161d24be57ca6c0c0c392827eb6ab	d__Eukaryota	0.916999778
eb92133091705e6261727a9312bb00f8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.999999986
8dfa6c6870ae9b55d19ab8986b919919	Unassigned	0.832831769
e5abfabb563a54394735e110b2badd72	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus	0.991960089
747b1fbf79afc94857a10dfe3a600a4b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella; s__Sutterella_wadsworthensis	0.759591879
8bc60bdcc122dce867abb6837879b613	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae	0.995533797
005494eb7623cd73d6e7782a30771ee4	Unassigned	0.865788412
0e8dd091b516649453e7080084a0be0b	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium	0.999833037
4ea17de897477fd565fcd42a8d95414e	Unassigned	0.693121763
a56819ddd69b4e89e765d81da15de935	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.999999961
eb8b7e835a3d51d9166db7b5f615b09f	Unassigned	0.768362128
4314bd67c59a590a67776f658d110ad1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group	0.815075322
4a6784517f3ee30200d48197e1fd1880	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium	0.999787512
09309e111f6082e23e10c5152f9798ad	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.999999991
967109b0209091f9a57a7532f69b9a52	Unassigned	0.818615247
6d83376a12629ac5e1dbacb8019bc00d	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.999998794
00550676d7dacf6e96312addc098e4f4	d__Eukaryota	0.941851845
b1797e8beeb295ba8f64535609c72599	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.999999964
c2684635ef21535e5cca78e9b2a6cfc7	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes	0.999999997
69106ee4ef109e22b6d0a3204f640b76	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium	0.999516657
4caae2fc9b30f86a6e0b997f170619d8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_vulgatus	0.859884093
669dd79eb4d0deb9a952388e488da5e9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_finegoldii	0.975602098
e268d7d90f9f20c6a5d360793984af45	Unassigned	0.919116337
a7fb642032b54ebf2cdba553ddbf9701	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_eligens_group	0.997062996
b12fc25ffdccaa1dbd31033641b55e36	Unassigned	0.947871747
ea8cc02cccdb04eb7a2bf1786b824a02	Unassigned	0.910064248
45981247bf533ad1796fe881ba95f1a1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia	0.991970064
6706bdf4d46687b3c1fd00c810a6ea01	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-003	0.99903845
5fd8e3d60e450a8b68e2f6b93bd333de	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Phascolarctobacterium	0.999999418
b0efc1502d3371ff77b7ebd8a64aa800	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Fusicatenibacter	0.996896733
2544580458df3fccfc7e1dc85f28aa93	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella; s__Sutterella_wadsworthensis	0.853221342
